Datetime,Actual,Prediction,Model,Fold,Type
2012-07-17 00:00:00,1385.3600112,1442.496826171875,XGBoost,0,
2012-07-17 01:00:00,1316.8855866,1369.8536376953125,XGBoost,0,
2012-07-17 02:00:00,1274.6977746,1288.1898193359375,XGBoost,0,
2012-07-17 03:00:00,1261.9095809,1239.766357421875,XGBoost,0,
2012-07-17 04:00:00,1256.7986233,1242.7010498046875,XGBoost,0,
2012-07-17 05:00:00,1260.231229,1256.619140625,XGBoost,0,
2012-07-17 06:00:00,1347.3597457,1318.917724609375,XGBoost,0,
2012-07-17 07:00:00,1512.6322361,1541.070068359375,XGBoost,0,
2012-07-17 08:00:00,1619.613267,1608.8648681640625,XGBoost,0,
2012-07-17 09:00:00,1717.358205,1693.207763671875,XGBoost,0,
2012-07-17 10:00:00,1784.2622134,1753.4007568359375,XGBoost,0,
